ID,Ca,Y,EA,log_sigma_300,GPf,GPsd,ei
135,40,16,,,-5.503727042108638,0.07648000766256446,1.176065716632368e-41
136,40,20,0.440197532,-5.603800653,-5.604039278843416,0.0038314421844714073,0.0
137,40,24,,,-5.587750493627331,0.1743579537111362,6.604184595764164e-12
138,40,28,,,-5.498408448428237,0.2754924230668221,1.022140456569229e-05
139,40,32,,,-5.492015853739669,0.2747761172211318,1.0786380796628511e-05
140,40,36,,,-5.556112963542268,0.20374342264149878,4.355280214042709e-09
141,40,40,,,-5.611952111989234,0.11274570737044286,4.459921169723226e-25
142,40,44,,,-5.681546817219268,0.07956492707277697,3.2859788499020995e-52
143,40,48,,,-5.751573805100553,0.19060585616126952,8.010349652417377e-13
144,44,0,,,-5.5146204026463375,0.30905627775245786,4.3562529038410546e-05
145,44,4,,,-5.568843297404426,0.17877543189466508,3.5609964450084325e-11
146,44,8,0.438736354,-5.515700161,-5.515757353046697,0.0038317649563264053,0.0
147,44,12,,,-5.409457436533706,0.09001539097481775,3.313633894539064e-26
148,44,16,,,-5.5162788563246234,0.08158934028991989,6.73695022292059e-38
149,44,20,0.454970114,-5.777283529,-5.776912682961164,0.0038305985198045286,0.0
150,44,24,,,-5.816034821806581,0.13314690580904848,4.065460660856581e-25
151,44,28,,,-5.679108910117007,0.2385363443439825,1.8495896489916183e-08
152,44,32,,,-5.660183817570838,0.24393985949905292,5.0043281734063244e-08
153,44,36,,,-5.733714791471394,0.13346613439169389,2.0896826379247715e-22
154,44,40,0.45181945,-5.761953897,-5.761936285532909,0.003831638146043325,0.0
155,44,44,0.454328863,-5.785156152,-5.785184602655323,0.003831502368744725,0.0
156,44,48,,,-5.819637046600793,0.13502611793286184,1.246065106509935e-24
157,48,0,,,-5.597779605320775,0.3159552550891756,2.12459243019731e-05
158,48,4,,,-5.6826671376272815,0.19155273695945915,1.0915228689865385e-11
159,48,8,0.439147311,-5.536107011,-5.536007185793564,0.003832128608575839,0.0
160,48,12,,,-5.219552481013881,0.08764992595671511,1.550141628485806e-18
161,48,16,0.412524501,-5.181114585,-5.181317093841622,0.0038323892169801256,0.0
162,48,20,,,-5.471204188341035,0.08179759317321057,8.694471170569735e-35
163,48,24,0.445601505,-5.632644079,-5.632708086241532,0.00383255626565587,0.0
164,48,28,,,-5.616976119139794,0.14743243259185754,3.9436325412578096e-16
165,48,32,,,-5.689683955934738,0.15338037243608,9.823695767133581e-17
166,48,36,0.458762028,-5.818156412,-5.818116901589763,0.003832565188692031,0.0
167,48,40,,,-5.875316788903041,0.1427392830264872,5.091095823924035e-24
168,48,44,,,-5.911878049380002,0.14318255799464905,5.441350724982002e-25
169,48,48,0.465418723,-5.931814138,-5.9317485043849745,0.003832561989642995,0.0
